quarter,province,population,starts_saar,starts_saar_q,dwelling_starts,pop_change_q,needed_units_q,hai
1990Q1,can,27463550.0,262.338,65.5845,65584.5,,,0.0
1990Q1,nl,576278.0,5.887666666666667,1.4719166666666668,1471.9166666666667,,,0.0
1990Q1,pe,130336.0,1.0983333333333334,0.27458333333333335,274.58333333333337,,,0.0
1990Q1,ns,907394.0,5.427666666666667,1.3569166666666668,1356.9166666666667,,,0.0
1990Q1,nb,737307.0,4.969,1.24225,1242.25,,,0.0
1990Q1,qc,6955119.0,68.13000000000001,17.032500000000002,17032.500000000004,,,0.0
1990Q1,on,10189985.0,96.75833333333333,24.18958333333333,24189.583333333332,,,0.0
1990Q1,mb,1102752.0,6.468666666666667,1.6171666666666666,1617.1666666666667,,,0.0
1990Q1,sk,1011429.0,1.3963333333333334,0.34908333333333336,349.08333333333337,,,0.0
1990Q1,ab,2520056.0,23.421666666666667,5.855416666666667,5855.416666666667,,,2.292790391369794
1990Q1,bc,3247419.0,48.78033333333334,12.195083333333335,12195.083333333334,,,0.0
1990Q2,can,27567161.0,204.92966666666666,51.232416666666666,51232.416666666664,103611.0,41444.4,1.2361722371820236
1990Q2,nl,577167.0,3.1123333333333334,0.7780833333333333,778.0833333333334,889.0,355.6,2.1880858642669665
1990Q2,pe,130468.0,0.38133333333333336,0.09533333333333334,95.33333333333334,132.0,52.8,1.8055555555555558
1990Q2,ns,908444.0,6.357666666666667,1.5894166666666667,1589.4166666666667,1050.0,420.0,3.784325396825397
1990Q2,nb,738744.0,3.170666666666667,0.7926666666666667,792.6666666666667,1437.0,574.8,1.3790303873811183
1990Q2,qc,6973762.0,48.77533333333333,12.193833333333332,12193.833333333332,18643.0,7457.2,1.6351758479500795
1990Q2,on,10238884.0,69.65666666666667,17.414166666666667,17414.166666666668,48899.0,19559.6,0.8903130261695877
1990Q2,mb,1103935.0,3.9316666666666666,0.9829166666666667,982.9166666666666,1183.0,473.2,2.0771696252465484
1990Q2,sk,1009952.0,1.8446666666666667,0.46116666666666667,461.1666666666667,-1477.0,0.0,0.0
1990Q2,ab,2532621.0,21.490333333333336,5.372583333333334,5372.583333333334,12565.0,5026.0,1.0689580846266085
1990Q2,bc,3266888.0,46.209,11.55225,11552.25,19469.0,7787.6,1.483415943294468
1990Q3,can,27691138.0,159.63366666666667,39.90841666666667,39908.416666666664,123977.0,49590.8,0.8047544437005788
1990Q3,nl,577368.0,2.760666666666667,0.6901666666666667,690.1666666666667,201.0,80.4,4.885416666666667
1990Q3,pe,130404.0,0.8943333333333333,0.22358333333333333,223.58333333333331,-64.0,0.0,0.0
1990Q3,ns,910451.0,5.0456666666666665,1.2614166666666666,1261.4166666666667,2007.0,802.8,1.5712713834911147
1990Q3,nb,740156.0,2.3296666666666668,0.5824166666666667,582.4166666666667,1412.0,564.8,1.031190982058546
1990Q3,qc,6996986.0,43.06733333333333,10.766833333333333,10766.833333333332,23224.0,9289.6,1.1590201228614077
1990Q3,on,10295832.0,57.09033333333334,14.272583333333335,14272.583333333336,56948.0,22779.2,0.626562097586102
1990Q3,mb,1105421.0,3.0220000000000002,0.7555000000000001,755.5000000000001,1486.0,594.4,1.2710296096904443
