,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2031","42,775.5","42,777.0","42,776.6","42,777.0","42,774.1","42,775.5","537.3","521.6","526.7","538.4","533.4","542.5","193.9","187.1","184.5","184.3","186.2","196.6","1,132.4","1,087.1","1,078.5","1,087.1","1,096.4","1,149.1","899.9","868.2","864.2","863.1","864.1","912.8","9,139.7","9,124.9","9,134.7","9,126.2","9,106.9","9,145.1","16,640.8","16,775.5","16,665.3","16,762.0","16,833.1","16,585.4","1,539.1","1,547.2","1,541.2","1,550.3","1,546.2","1,536.9","1,288.7","1,303.4","1,316.3","1,326.6","1,301.3","1,284.6","5,363.6","5,358.4","5,391.1","5,276.5","5,150.9","5,399.4","5,902.9","5,869.0","5,938.1","5,921.9","6,014.2","5,885.8"
"2032","43,104.8","43,106.7","43,106.2","43,106.7","43,102.9","43,104.8","535.8","519.0","524.8","538.2","532.4","542.7","195.9","188.6","185.6","185.4","187.6","199.5","1,139.4","1,090.6","1,080.7","1,090.5","1,101.1","1,161.8","905.4","871.5","866.8","865.7","866.8","922.7","9,170.2","9,154.4","9,165.6","9,155.8","9,133.6","9,177.2","16,777.3","16,921.6","16,794.7","16,906.0","16,987.7","16,702.7","1,549.6","1,558.5","1,551.6","1,562.1","1,557.4","1,546.7","1,298.7","1,314.6","1,329.4","1,341.5","1,312.5","1,293.2","5,440.0","5,440.4","5,478.2","5,346.5","5,201.6","5,488.4","5,954.8","5,912.4","5,992.0","5,973.2","6,079.4","5,931.7"
"2033","43,435.1","43,437.4","43,436.9","43,437.6","43,432.8","43,435.1","534.1","516.5","522.9","537.9","531.4","543.0","197.7","190.0","186.6","186.5","189.0","202.5","1,145.5","1,094.0","1,082.9","1,093.9","1,105.8","1,174.5","910.3","874.8","869.4","868.2","869.5","932.6","9,199.9","9,183.4","9,196.0","9,185.0","9,159.8","9,208.8","16,916.6","17,068.0","16,924.2","17,050.2","17,142.8","16,820.1","1,560.5","1,570.0","1,562.2","1,574.1","1,568.8","1,556.7","1,309.0","1,326.1","1,342.9","1,356.8","1,323.9","1,302.0","5,515.4","5,523.5","5,566.4","5,417.3","5,252.8","5,578.4","6,007.6","5,955.8","6,046.0","6,024.4","6,144.7","5,977.6"
"2034","43,765.7","43,768.5","43,767.8","43,768.6","43,762.7","43,765.7","532.2","513.9","521.0","537.7","530.4","543.1","199.4","191.5","187.6","187.6","190.3","205.4","1,150.8","1,097.4","1,085.0","1,097.2","1,110.6","1,187.3","914.5","878.0","871.9","870.6","872.1","942.5","9,228.8","9,212.0","9,226.0","9,213.7","9,185.5","9,239.9","17,058.8","17,214.4","17,053.4","17,194.5","17,298.1","16,937.2","1,571.5","1,581.6","1,572.9","1,586.1","1,580.2","1,566.8","1,319.8","1,337.7","1,356.5","1,372.3","1,335.5","1,311.0","5,589.5","5,607.5","5,655.6","5,488.9","5,304.3","5,669.3","6,061.2","5,998.8","6,099.8","6,075.4","6,210.0","6,023.3"
"2035","44,095.5","44,098.8","44,098.1","44,099.0","44,091.9","44,095.6","530.2","511.3","519.1","537.4","529.4","543.3","201.1","192.9","188.6","188.6","191.6","208.3","1,156.0","1,100.7","1,087.0","1,100.4","1,115.2","1,200.1","918.6","881.1","874.4","873.0","874.7","952.5","9,257.1","9,240.1","9,255.4","9,241.9","9,210.6","9,270.3","17,200.9","17,360.6","17,182.3","17,338.6","17,453.3","17,053.9","1,582.7","1,593.2","1,583.5","1,598.3","1,591.8","1,576.9","1,330.6","1,349.3","1,370.1","1,388.1","1,347.2","1,320.0","5,663.8","5,692.1","5,745.6","5,560.9","5,355.9","5,760.9","6,114.4","6,041.4","6,153.4","6,125.9","6,275.0","6,068.7"
"2036","44,425.6","44,429.6","44,428.7","44,429.7","44,421.3","44,425.8","528.1","508.6","517.0","537.0","528.3","543.3","202.8","194.3","189.6","189.6","192.9","211.3","1,161.1","1,103.9","1,088.8","1,103.6","1,119.7","1,212.9","922.7","884.2","876.8","875.3","877.1","962.4","9,285.2","9,267.9","9,284.6","9,269.8","9,235.5","9,300.4","17,343.2","17,506.9","17,311.1","17,482.9","17,608.9","17,170.5","1,594.0","1,604.9","1,594.2","1,610.5","1,603.4","1,587.0","1,341.5","1,361.0","1,383.9","1,403.9","1,359.0","1,329.1","5,738.6","5,777.5","5,836.4","5,633.5","5,407.8","5,853.3","6,167.5","6,083.7","6,206.8","6,176.2","6,340.0","6,113.9"
"2037","44,756.8","44,761.5","44,760.5","44,761.6","44,751.8","44,757.1","526.0","505.8","514.9","536.5","527.1","543.2","204.6","195.6","190.5","190.5","194.2","214.2","1,166.1","1,107.0","1,090.6","1,106.6","1,124.2","1,225.7","926.7","887.3","879.2","877.6","879.6","972.4","9,313.3","9,295.7","9,313.8","9,297.7","9,260.2","9,330.5","17,486.1","17,653.8","17,440.1","17,627.7","17,765.2","17,287.3","1,605.4","1,616.6","1,605.0","1,622.9","1,615.2","1,597.3","1,352.6","1,372.8","1,397.8","1,420.0","1,371.0","1,338.4","5,814.0","5,863.8","5,928.3","5,706.9","5,459.9","5,946.6","6,220.5","6,125.9","6,260.1","6,226.3","6,404.9","6,158.9"
"2038","45,090.2","45,095.6","45,094.5","45,095.7","45,084.3","45,090.6","523.8","503.0","512.7","536.1","525.9","543.1","206.3","197.0","191.5","191.5","195.4","217.2","1,171.1","1,110.1","1,092.4","1,109.6","1,128.6","1,238.6","930.7","890.4","881.5","879.8","882.0","982.3","9,341.6","9,323.8","9,343.2","9,325.9","9,285.2","9,360.7","17,629.9","17,801.4","17,569.8","17,773.3","17,922.5","17,404.8","1,617.0","1,628.5","1,615.9","1,635.4","1,627.1","1,607.7","1,363.9","1,384.7","1,411.9","1,436.4","1,383.2","1,347.7","5,890.0","5,951.0","6,021.2","5,781.1","5,512.5","6,040.8","6,273.6","6,168.0","6,313.7","6,276.4","6,470.1","6,204.1"
"2039","45,426.4","45,432.7","45,431.5","45,432.6","45,419.7","45,427.0","521.7","500.2","510.4","535.6","524.7","542.9","208.0","198.4","192.4","192.4","196.7","220.2","1,176.1","1,113.1","1,094.1","1,112.6","1,133.1","1,251.5","934.8","893.5","883.9","882.1","884.5","992.4","9,370.4","9,352.3","9,373.0","9,354.4","9,310.5","9,391.3","17,774.9","17,950.2","17,700.3","17,920.1","18,081.0","17,523.2","1,628.6","1,640.5","1,626.9","1,648.2","1,639.2","1,618.2","1,375.3","1,396.8","1,426.1","1,452.9","1,395.5","1,357.2","5,966.7","6,039.3","6,115.3","5,856.1","5,565.5","6,136.1","6,326.9","6,210.2","6,367.4","6,326.8","6,535.7","6,249.4"
"2040","45,766.0","45,773.1","45,771.8","45,772.9","45,758.2","45,766.7","519.5","497.3","508.2","535.1","523.4","542.7","209.7","199.8","193.4","193.4","197.9","223.2","1,181.1","1,116.3","1,095.9","1,115.7","1,137.5","1,264.5","938.9","896.6","886.3","884.4","887.0","1,002.5","9,399.5","9,381.2","9,403.2","9,383.4","9,336.2","9,422.3","17,921.3","18,100.2","17,831.9","18,068.2","18,241.2","17,642.6","1,640.5","1,652.7","1,638.1","1,661.0","1,651.5","1,628.8","1,386.8","1,409.1","1,440.5","1,469.7","1,408.0","1,366.8","6,044.1","6,128.7","6,210.6","5,931.9","5,618.9","6,232.5","6,380.6","6,252.6","6,421.6","6,377.3","6,601.7","6,295.1"
