Geography,Canada,,,,,,,,,,,,,,,,Newfoundland and Labrador,,,,,,,,,,,,,,,,Prince Edward Island,,,,,,,,,,,,,,,,Nova Scotia,,,,,,,,,,,,,,,,New Brunswick,,,,,,,,,,,,,,,,Quebec,,,,,,,,,,,,,,,,Ontario,,,,,,,,,,,,,,,,Manitoba,,,,,,,,,,,,,,,,Saskatchewan,,,,,,,,,,,,,,,,Alberta,,,,,,,,,,,,,,,,British Columbia,,,,,,,,,,,,,,,,Yukon,,,,,,,,,,,,,,,,Northwest Territories,,,,,,,,,,,,,,,,Nunavut,,,,,,,,,,,,,,,
Size,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total - Household size,"13,334,175","13,486,089","13,682,536","13,811,707","13,979,830","14,128,503","14,243,815","14,392,233","14,587,316","14,853,214","15,151,325","15,361,408","15,492,388","15,772,000","16,172,895","16,547,214","207,523","209,022","211,110","213,981","216,274","218,993","220,734","223,489","224,981","226,699","228,614","229,193","230,579","237,072","239,052","241,107","56,276","56,882","57,856","57,869","58,308","59,288","60,499","61,188","62,391","63,487","64,609","65,813","67,118","69,211","71,490","73,761","395,038","397,651","400,148","399,084","399,592","400,338","401,693","402,091","408,719","416,833","424,640","431,556","439,563","450,403","463,248","475,881","309,927","312,347","314,638","316,174","318,031","320,665","323,441","324,956","328,479","332,303","337,051","339,491","341,565","349,842","358,582","367,053","3,343,725","3,391,799","3,436,848","3,460,763","3,482,346","3,504,827","3,527,412","3,549,093","3,593,564","3,659,311","3,722,540","3,759,408","3,782,636","3,854,032","3,905,047","3,951,913","4,946,820","5,000,161","5,062,085","5,099,734","5,158,020","5,214,602","5,270,106","5,317,646","5,393,411","5,486,313","5,608,172","5,684,561","5,740,656","5,840,094","6,013,531","6,175,210","472,386","474,829","479,785","483,432","487,744","491,184","496,168","500,019","506,687","513,729","524,780","529,099","530,160","539,331","551,785","563,914","412,668","416,448","424,132","430,149","435,755","438,592","441,179","446,501","450,909","455,107","463,539","465,072","465,275","473,754","481,038","487,470","1,382,450","1,402,915","1,444,946","1,484,489","1,524,726","1,548,199","1,536,180","1,576,007","1,589,708","1,625,429","1,654,738","1,685,218","1,694,925","1,715,315","1,780,820","1,842,698","1,769,420","1,785,287","1,811,079","1,826,139","1,858,352","1,890,592","1,924,466","1,948,766","1,985,048","2,029,443","2,076,973","2,125,923","2,153,503","2,195,565","2,260,546","2,320,178","13,989","14,395","15,108","15,054","15,354","15,692","16,161","16,442","16,932","17,466","18,040","18,441","18,895","19,227","19,707","20,133","15,140","15,393","15,460","15,408","15,641","15,748","15,753","15,799","15,950","16,088","16,449","16,454","16,481","16,783","16,751","16,587","8,813","8,960","9,341","9,431","9,687","9,783","10,023","10,236","10,537","11,006","11,180","11,179","11,032","11,371","11,298","11,309"
1 person,"3,645,970","3,715,180","3,799,801","3,866,478","3,952,466","4,027,450","4,098,203","4,175,719","4,270,916","4,407,989","4,559,154","4,664,977","4,739,940","4,848,821","4,991,644","5,127,469","44,994","46,367","47,722","49,670","51,416","53,303","54,970","56,957","58,398","60,498","62,684","64,648","66,186","69,278","70,864","72,469","14,047","14,291","14,591","14,988","15,390","16,038","16,688","17,165","17,581","17,975","18,499","19,091","19,618","20,261","21,064","21,866","109,611","111,509","113,399","112,696","113,099","113,180","113,494","113,611","117,912","123,238","129,165","133,820","138,754","141,938","146,397","150,838","78,436","80,201","82,011","83,416","85,608","87,897","90,475","92,380","94,900","97,908","101,193","103,250","104,884","107,457","110,513","113,536","1,061,295","1,089,507","1,116,507","1,132,078","1,148,577","1,165,665","1,185,677","1,201,923","1,229,877","1,268,568","1,311,181","1,334,691","1,352,837","1,387,273","1,412,211","1,435,553","1,230,652","1,255,553","1,280,921","1,307,903","1,344,193","1,380,760","1,419,702","1,452,167","1,478,791","1,517,221","1,565,056","1,593,372","1,617,648","1,657,146","1,717,628","1,775,296","135,013","135,413","136,295","136,780","137,409","137,514","138,450","138,831","140,874","143,623","147,718","149,485","149,791","153,348","157,638","161,885","117,881","118,076","120,368","121,677","123,753","124,452","125,356","127,006","129,086","132,130","136,264","138,320","139,684","143,859","145,774","147,513","342,284","347,723","361,057","373,839","385,442","389,029","380,446","392,295","402,367","424,083","441,081","458,397","468,339","470,959","489,440","507,136","502,136","506,764","516,900","523,220","537,090","548,754","561,699","571,925","589,162","610,216","633,107","656,254","668,094","683,042","705,617","726,682","4,392","4,474","4,602","4,740","4,931","5,174","5,373","5,549","5,812","6,057","6,415","6,685","6,925","6,942","7,105","7,239","3,544","3,625","3,733","3,701","3,686","3,747","3,789","3,763","3,858","3,990","4,194","4,269","4,386","4,459","4,516","4,550","1,685","1,677","1,695","1,770","1,872","1,937","2,084","2,147","2,298","2,482","2,597","2,695","2,794","2,859","2,877","2,906"
2 persons,"4,528,899","4,584,765","4,658,906","4,680,373","4,718,846","4,750,651","4,764,797","4,797,587","4,856,525","4,941,315","5,020,465","5,096,857","5,143,628","5,264,315","5,433,701","5,595,121","79,493","80,974","82,822","84,178","85,344","86,384","86,820","88,138","88,756","89,909","90,614","90,876","91,711","94,342","95,553","96,816","20,672","21,037","21,627","21,762","21,768","22,081","22,320","22,439","23,117","23,629","23,981","24,369","24,799","25,713","26,691","27,674","147,984","149,977","151,924","152,485","153,450","154,418","155,442","156,306","157,780","159,842","161,015","162,580","164,917","169,968","175,901","181,826","119,858","121,781","123,784","124,520","125,275","125,785","126,127","126,748","127,049","127,349","127,734","127,629","127,727","131,577","135,018","138,422","1,158,980","1,176,698","1,194,170","1,197,468","1,199,675","1,202,839","1,207,814","1,210,478","1,227,725","1,252,327","1,268,845","1,290,867","1,304,607","1,329,868","1,347,528","1,363,763","1,597,868","1,616,740","1,640,452","1,639,888","1,645,646","1,653,807","1,659,520","1,663,740","1,687,894","1,720,384","1,756,603","1,783,082","1,801,517","1,848,355","1,925,055","1,998,191","157,231","157,793","159,309","161,022","162,959","164,166","165,978","167,641","169,975","172,266","175,189","176,583","177,391","181,218","186,751","192,235","146,298","148,039","150,843","152,437","153,903","153,638","152,924","154,219","154,849","154,678","156,590","156,640","156,593","159,930","162,734","165,370","477,243","482,131","494,629","504,555","518,492","525,421","516,905","529,961","529,700","536,187","541,494","549,515","551,309","561,377","588,308","614,271","612,633","618,572","628,166","630,892","640,976","650,774","659,592","666,576","677,972","692,572","705,901","722,041","730,271","749,017","776,899","803,014","4,630","4,809","4,968","5,005","5,096","5,168","5,234","5,279","5,454","5,612","5,727","5,772","5,791","5,897","6,167","6,421","4,391","4,505","4,451","4,363","4,420","4,326","4,261","4,193","4,335","4,509","4,717","4,798","4,938","4,986","5,042","5,066","1,618","1,709","1,761","1,798","1,842","1,844","1,860","1,869","1,919","2,051","2,055","2,105","2,057","2,067","2,054","2,052"
3 or more persons,"5,159,306","5,186,144","5,223,829","5,264,856","5,308,518","5,350,402","5,380,815","5,418,927","5,459,875","5,503,910","5,571,706","5,599,574","5,608,820","5,658,864","5,747,550","5,824,624","83,036","81,681","80,566","80,133","79,514","79,306","78,944","78,394","77,827","76,292","75,316","73,669","72,682","73,452","72,635","71,822","21,557","21,554","21,638","21,119","21,150","21,169","21,491","21,584","21,693","21,883","22,129","22,353","22,701","23,237","23,735","24,221","137,443","136,165","134,825","133,903","133,043","132,740","132,757","132,174","133,027","133,753","134,460","135,156","135,892","138,497","140,950","143,217","111,633","110,365","108,843","108,238","107,148","106,983","106,839","105,828","106,530","107,046","108,124","108,612","108,954","110,808","113,051","115,095","1,123,450","1,125,594","1,126,171","1,131,217","1,134,094","1,136,323","1,133,921","1,136,692","1,135,962","1,138,416","1,142,514","1,133,850","1,125,192","1,136,891","1,145,308","1,152,597","2,118,300","2,127,868","2,140,712","2,151,943","2,168,181","2,180,035","2,190,884","2,201,739","2,226,726","2,248,708","2,286,513","2,308,107","2,321,491","2,334,593","2,370,848","2,401,723","180,142","181,623","184,181","185,630","187,376","189,504","191,740","193,547","195,838","197,840","201,873","203,031","202,978","204,765","207,396","209,794","148,489","150,333","152,921","156,035","158,099","160,502","162,899","165,276","166,974","168,299","170,685","170,112","168,998","169,965","172,530","174,587","562,923","573,061","589,260","606,095","620,792","633,749","638,829","653,751","657,641","665,159","672,163","677,306","675,277","682,979","703,072","721,291","654,651","659,951","666,013","672,027","680,286","691,064","703,175","710,265","717,914","726,655","737,965","747,628","755,138","763,506","778,030","790,482","4,967","5,112","5,538","5,309","5,327","5,350","5,554","5,614","5,666","5,797","5,898","5,984","6,179","6,388","6,435","6,473","7,205","7,263","7,276","7,344","7,535","7,675","7,703","7,843","7,757","7,589","7,538","7,387","7,157","7,338","7,193","6,971","5,510","5,574","5,885","5,863","5,973","6,002","6,079","6,220","6,320","6,473","6,528","6,379","6,181","6,445","6,367","6,351"
3 persons 5,..,..,..,..,..,..,..,"2,222,095","2,231,714","2,249,439","2,273,112","2,285,087","2,290,025","2,313,071","2,352,252","2,387,184",..,..,..,..,..,..,..,"38,877","38,821","38,186","37,715","37,170","36,690","37,009","36,608","36,226",..,..,..,..,..,..,..,"9,650","9,694","9,837","9,928","10,095","10,100","10,415","10,628","10,828",..,..,..,..,..,..,..,"63,956","64,695","65,318","65,622","66,028","66,384","67,582","68,710","69,755",..,..,..,..,..,..,..,"51,041","51,453","51,945","52,370","52,816","53,093","53,663","54,536","55,363",..,..,..,..,..,..,..,"496,743","492,490","492,421","491,001","485,691","479,593","483,040","485,451","487,347",..,..,..,..,..,..,..,"871,099","878,885","887,216","902,275","911,502","919,972","928,404","945,991","961,662",..,..,..,..,..,..,..,"73,056","74,229","75,297","77,155","78,004","78,261","78,984","79,760","80,483",..,..,..,..,..,..,..,"64,532","64,884","65,184","65,630","65,009","64,043","64,270","65,310","66,174",..,..,..,..,..,..,..,"252,274","252,454","255,641","257,680","259,718","258,724","261,695","269,980","277,642",..,..,..,..,..,..,..,"293,871","296,978","301,241","306,601","312,022","316,199","320,794","328,043","334,482",..,..,..,..,..,..,..,"2,449","2,546","2,604","2,689","2,690","2,739","2,816","2,879","2,938",..,..,..,..,..,..,..,"3,020","3,033","2,982","2,938","2,874","2,775","2,887","2,853","2,790",..,..,..,..,..,..,..,"1,527","1,552","1,567","1,508","1,468","1,452","1,512","1,503","1,494"
4 persons 5,..,..,..,..,..,..,..,"1,982,958","1,997,770","2,004,232","2,026,441","2,030,768","2,032,715","2,047,524","2,075,392","2,099,078",..,..,..,..,..,..,..,"29,047","28,753","28,077","27,665","26,806","26,276","26,645","26,247","25,865",..,..,..,..,..,..,..,"7,775","7,840","7,819","7,845","7,814","7,989","8,099","8,273","8,418",..,..,..,..,..,..,..,"46,292","46,295","46,106","46,355","46,445","46,739","47,632","48,438","49,192",..,..,..,..,..,..,..,"38,089","38,174","38,036","38,324","38,167","38,080","38,749","39,428","40,102",..,..,..,..,..,..,..,"426,112","426,882","425,727","428,027","423,757","420,936","425,057","427,842","430,235",..,..,..,..,..,..,..,"811,454","819,531","823,124","834,158","839,474","842,584","845,779","856,188","864,608",..,..,..,..,..,..,..,"68,200","68,869","69,199","70,405","70,370","70,471","70,621","71,743","72,772",..,..,..,..,..,..,..,"57,947","58,637","59,147","60,362","60,296","60,261","60,588","61,523","62,261",..,..,..,..,..,..,..,"239,022","241,182","243,321","246,335","248,276","247,937","250,193","257,188","263,519",..,..,..,..,..,..,..,"252,701","255,323","257,382","260,712","263,137","265,288","267,886","272,370","276,088",..,..,..,..,..,..,..,"2,015","2,042","2,093","2,102","2,149","2,214","2,293","2,299","2,303",..,..,..,..,..,..,..,"2,695","2,670","2,625","2,618","2,611","2,529","2,552","2,460","2,355",..,..,..,..,..,..,..,"1,609","1,572","1,576","1,533","1,466","1,411","1,430","1,393","1,360"
5 persons 5,..,..,..,..,..,..,..,"769,763","778,209","786,658","797,444","802,210","803,123","808,513","819,095","827,846",..,..,..,..,..,..,..,"7,772","7,632","7,424","7,314","7,121","7,137","7,173","7,161","7,133",..,..,..,..,..,..,..,"2,964","2,966","2,980","3,034","3,073","3,135","3,217","3,260","3,323",..,..,..,..,..,..,..,"15,600","15,641","15,689","15,676","15,732","15,640","15,988","16,325","16,654",..,..,..,..,..,..,..,"11,938","11,922","11,942","12,118","12,132","12,239","12,566","12,941","13,250",..,..,..,..,..,..,..,"149,386","151,175","152,952","154,499","154,710","154,619","157,078","158,901","160,582",..,..,..,..,..,..,..,"324,516","328,499","332,421","337,786","340,321","340,997","340,349","343,409","345,585",..,..,..,..,..,..,..,"30,459","30,698","30,882","31,401","31,601","31,409","31,932","32,354","32,739",..,..,..,..,..,..,..,"26,364","26,789","27,015","27,355","27,481","27,382","27,618","28,034","28,406",..,..,..,..,..,..,..,"100,321","101,283","102,345","103,653","104,289","103,970","105,332","108,087","110,499",..,..,..,..,..,..,..,"97,267","98,454","99,869","101,414","102,600","103,509","104,010","105,402","106,465",..,..,..,..,..,..,..,758,719,744,737,761,819,861,856,855,..,..,..,..,..,..,..,"1,211","1,186","1,165","1,180","1,115","1,096","1,116","1,108","1,078",..,..,..,..,..,..,..,"1,207","1,245","1,230","1,277","1,274","1,171","1,273","1,257","1,277"
6 or more persons 5,..,..,..,..,..,..,..,"444,111","452,182","463,581","474,709","481,509","482,957","489,756","500,811","510,516",..,..,..,..,..,..,..,"2,698","2,621","2,605","2,622","2,572","2,579","2,625","2,619","2,598",..,..,..,..,..,..,..,"1,195","1,193","1,247","1,322","1,371","1,477","1,506","1,574","1,652",..,..,..,..,..,..,..,"6,326","6,396","6,640","6,807","6,951","7,129","7,295","7,477","7,616",..,..,..,..,..,..,..,"4,760","4,981","5,123","5,312","5,497","5,542","5,830","6,146","6,380",..,..,..,..,..,..,..,"64,451","65,415","67,316","68,987","69,692","70,044","71,716","73,114","74,433",..,..,..,..,..,..,..,"194,670","199,811","205,947","212,294","216,810","217,938","220,061","225,260","229,868",..,..,..,..,..,..,..,"21,832","22,042","22,462","22,912","23,056","22,837","23,228","23,539","23,800",..,..,..,..,..,..,..,"16,433","16,664","16,953","17,338","17,326","17,312","17,489","17,663","17,746",..,..,..,..,..,..,..,"62,134","62,722","63,852","64,495","65,023","64,646","65,759","67,817","69,631",..,..,..,..,..,..,..,"66,426","67,159","68,163","69,238","69,869","70,142","70,816","72,215","73,447",..,..,..,..,..,..,..,392,359,356,370,384,407,418,401,377,..,..,..,..,..,..,..,917,868,817,802,787,757,783,772,748,..,..,..,..,..,..,..,"1,877","1,951","2,100","2,210","2,171","2,147","2,230","2,214","2,220"
