iter	Passed	Remaining
0	5	9526
1	7	5602
2	7	4116
3	8	3423
4	9	2916
5	9	2601
6	10	2355
7	11	2308
8	12	2147
9	12	2012
10	13	1897
11	13	1802
12	14	1721
13	14	1650
14	15	1586
15	15	1530
16	16	1492
17	16	1455
18	17	1434
19	17	1411
20	18	1387
21	18	1360
22	19	1332
23	20	1316
24	20	1292
25	20	1270
26	21	1252
27	21	1234
28	22	1216
29	22	1198
30	23	1183
31	23	1168
32	24	1154
33	24	1145
34	25	1137
35	26	1133
36	26	1129
37	27	1118
38	27	1110
39	28	1100
40	28	1090
41	29	1081
42	29	1076
43	30	1067
44	30	1059
45	31	1050
46	31	1042
47	32	1041
48	32	1035
49	33	1031
50	33	1032
51	34	1033
52	35	1032
53	35	1026
54	36	1022
55	37	1020
56	37	1014
57	38	1019
58	39	1021
59	39	1014
60	39	1008
61	40	1004
62	41	1001
63	41	998
64	42	995
65	42	991
66	43	988
67	43	985
68	44	981
69	44	979
70	45	976
71	45	974
72	46	972
73	47	969
74	47	966
75	48	963
76	48	961
77	49	959
78	49	960
79	50	962
80	51	961
81	51	960
82	52	957
83	53	960
84	53	956
85	54	953
86	54	949
87	55	946
88	55	942
89	55	939
90	56	936
91	57	936
92	57	935
93	58	936
94	59	939
95	59	938
96	60	936
97	61	935
98	61	934
99	62	931
100	62	929
101	63	927
102	63	926
103	64	924
104	64	922
105	65	920
106	65	918
107	66	916
108	66	914
109	67	912
110	67	910
111	68	909
112	68	906
113	69	904
114	69	903
115	70	901
116	71	900
117	71	899
118	72	897
119	72	896
120	73	894
121	74	898
122	74	897
123	75	899
124	76	898
125	76	897
126	77	896
127	77	895
128	78	893
129	78	892
130	79	892
131	80	890
132	80	889
133	81	887
134	81	888
135	82	886
136	82	884
137	83	882
138	84	882
139	84	883
140	85	883
141	86	883
142	86	882
143	87	881
144	87	879
145	88	878
146	88	877
147	89	876
148	90	880
149	91	880
150	91	878
151	92	877
152	92	878
153	93	878
154	94	876
155	94	875
156	95	875
157	95	874
158	96	873
159	96	871
160	97	872
161	98	872
162	98	871
163	99	871
164	100	874
165	101	873
166	101	873
167	102	872
168	102	870
169	103	868
170	103	867
171	104	867
172	105	866
173	105	864
174	105	862
175	106	860
176	106	859
177	107	858
178	107	856
179	108	855
180	108	853
181	109	851
182	109	849
183	110	847
184	110	847
185	111	845
186	111	844
187	112	843
188	112	842
189	113	841
190	113	840
191	114	839
192	115	838
193	115	837
194	116	836
195	116	835
