iter	MAE
0	0.9800533145
1	0.9517816219
2	0.9219692183
3	0.8929757098
4	0.8651337313
5	0.8425037111
6	0.8172126581
7	0.7957439932
8	0.7749603367
9	0.7520181255
10	0.7311939792
11	0.7102456666
12	0.6907317298
13	0.6732953719
14	0.6561762144
15	0.6384477653
16	0.6291619853
17	0.6129697194
18	0.5998601323
19	0.5886890787
20	0.5766550291
21	0.5657781132
22	0.5545126596
23	0.5438236102
24	0.5330566736
25	0.5234925495
26	0.5146115656
27	0.5084251794
28	0.4976653166
29	0.4874380522
30	0.4814825263
31	0.4723220182
32	0.4647201227
33	0.4549924753
34	0.4473562769
35	0.4410439337
36	0.4355438642
37	0.4316740764
38	0.4264035971
39	0.4214353247
40	0.4159689209
41	0.4103489059
42	0.4038744804
43	0.3991490447
44	0.3948849993
45	0.3916081803
46	0.3868339095
47	0.3838498164
48	0.3789737324
49	0.3760268781
50	0.3722239064
51	0.3692494118
52	0.3666752057
53	0.3620807449
54	0.3592173185
55	0.3556650916
56	0.3528982617
57	0.3509673212
58	0.3478556775
59	0.3457850365
60	0.3432511443
61	0.3411652085
62	0.3389919161
63	0.3374695431
64	0.3352897824
65	0.3341374028
66	0.3328667393
67	0.3309423685
68	0.3291445253
69	0.3273375548
70	0.3266083465
71	0.3244183534
72	0.3233601809
73	0.3221235204
74	0.3202423956
75	0.3180480377
76	0.3168137149
77	0.3158805743
78	0.3146254568
79	0.3130791864
80	0.311762435
81	0.3103796199
82	0.3088627209
83	0.3076640513
84	0.304977318
85	0.3037472258
86	0.3024371689
87	0.3015404841
88	0.3008669916
89	0.3000406284
90	0.2990826594
91	0.2971036103
92	0.2958919699
93	0.2946365135
94	0.2935523561
95	0.2928500401
96	0.2916082827
97	0.2911481888
98	0.290126225
99	0.2891377271
100	0.288670916
101	0.2875129582
102	0.2866168513
103	0.2851373195
104	0.2841792595
105	0.2829864022
106	0.2823695703
107	0.2817166269
108	0.2811865508
109	0.2804817606
110	0.2790405087
111	0.2783735594
112	0.2779196727
113	0.2769125601
114	0.2760073989
115	0.2753970527
116	0.2749549648
117	0.2742271184
118	0.273282649
119	0.2726198404
120	0.2715326646
121	0.2707159073
122	0.2699946319
123	0.2686811051
124	0.2681797512
125	0.2677979824
126	0.2671112335
127	0.266373183
128	0.2655740731
129	0.2645977677
130	0.2642467065
131	0.2628274805
132	0.2620119783
133	0.2610516972
134	0.2607270077
135	0.2600068836
136	0.2594150913
137	0.2580954078
138	0.2576292969
139	0.2565642181
140	0.2560592615
141	0.254403877
142	0.2541340791
143	0.2534061096
144	0.2528151801
145	0.2520420326
146	0.2514881981
147	0.2507749699
148	0.250235004
149	0.2500116478
150	0.2491637683
151	0.2487197911
152	0.2480508071
153	0.2474457918
154	0.2473846129
155	0.2468556619
156	0.2464023752
157	0.2459678853
158	0.2445682428
159	0.2442254951
160	0.2440767482
161	0.2432034677
162	0.2425152858
163	0.241794361
164	0.2410445721
165	0.2403101664
166	0.2394713792
167	0.2389169785
168	0.238337232
169	0.237630618
170	0.2369952539
171	0.2361993554
172	0.2359611398
173	0.2356025482
174	0.2347305849
175	0.233807734
176	0.2337360485
177	0.2333206854
178	0.2327956473
179	0.2318964437
180	0.2313665098
181	0.2310126873
182	0.2302582968
183	0.2289295333
184	0.2288236601
185	0.22820708
186	0.2271166059
187	0.2268040111
188	0.2263803344
189	0.226194927
190	0.2254461799
191	0.2248305322
192	0.2245769407
193	0.2241704485
194	0.2239967754
195	0.2235810703
196	0.2230337244
197	0.2227804986
198	0.22257888
199	0.2223978003
200	0.2221180857
201	0.2215812019
202	0.2213501627
203	0.2208486263
204	0.2206418191
205	0.219955238
206	0.219880895
207	0.2194343507
208	0.2190754775
209	0.2187825634
210	0.2182374267
211	0.2178523505
212	0.2177048434
213	0.2172032135
214	0.2169489037
215	0.2159899052
216	0.2157518753
217	0.2147158701
218	0.2145508743
219	0.2141505401
220	0.213795784
221	0.2136801331
222	0.2133511026
223	0.2127923516
224	0.2126025318
225	0.2123879101
226	0.2121778954
227	0.2118591372
228	0.211427165
229	0.2113111776
230	0.2110248491
231	0.2108418139
